umap2d_1,umap2d_2,dynamics_bin
6.000306,12.594834,1.0
6.1081824,12.726133,1.0
22.100958,11.853489,5.0
17.968658,10.781295,3.0
21.215282,11.764583,5.0
20.45366,12.249836,5.0
18.593674,11.541438,4.0
19.10898,11.519517,5.0
20.082577,11.415922,5.0
19.36078,11.462675,5.0
22.152971,11.519752,5.0
21.693613,11.566098,5.0
20.334501,11.337166,5.0
19.599737,11.637215,5.0
7.3084908,9.869292,0.0
7.5830803,10.049757,0.0
10.020265,12.780746,0.0
10.578396,12.737037,1.0
9.3998,12.691011,0.0
10.194763,12.919947,0.0
9.689354,12.725228,0.0
9.760848,12.591998,0.0
20.202213,11.013614,5.0
23.740652,11.023209,5.0
5.116498,10.05975,0.0
6.388708,10.202627,0.0
6.1401396,10.08346,0.0
5.499599,10.284479,0.0
6.124734,10.315932,0.0
7.1553917,9.686289,0.0
4.9948254,9.525671,0.0
10.912718,11.093471,1.0
7.43924,10.095788,0.0
17.681566,10.8257265,4.0
17.673826,10.781494,4.0
13.591953,10.391235,2.0
4.8285913,10.423947,0.0
4.479301,10.298288,0.0
4.684166,10.33822,0.0
17.291687,13.091802,4.0
16.590578,13.03293,4.0
16.540411,13.062207,4.0
21.185566,12.948785,5.0
13.052255,11.459133,2.0
20.95258,11.326138,5.0
5.252065,10.7565775,0.0
5.4111676,10.829584,0.0
19.43023,10.937374,4.0
7.5175815,10.984052,0.0
17.435873,11.839881,4.0
18.02025,11.859274,4.0
21.536674,11.148626,5.0
10.008151,10.733024,0.0
10.079963,10.50962,1.0
10.933257,10.572151,2.0
11.057233,10.582262,2.0
10.243781,10.797641,1.0
21.700844,11.32206,5.0
21.540636,11.490221,5.0
20.144909,11.89158,5.0
20.844215,12.052997,5.0
12.717625,11.713893,2.0
9.926791,10.625825,2.0
10.224594,10.680748,2.0
13.366937,11.928721,3.0
4.693814,10.613491,0.0
13.985712,13.194033,3.0
14.977061,13.503371,3.0
15.6087475,13.488745,3.0
6.2882657,9.890975,0.0
6.6203513,10.014949,0.0
19.442036,12.742298,5.0
16.981993,13.375398,5.0
19.425774,13.383266,5.0
19.462065,13.39532,5.0
20.031641,13.438526,5.0
7.381346,10.472489,0.0
7.3100114,10.483443,0.0
6.511118,9.818369,0.0
9.20811,10.910899,0.0
19.321743,11.72764,5.0
19.422253,11.658807,5.0
20.541111,11.565862,5.0
22.122776,12.684443,5.0
4.123613,10.090241,0.0
14.414765,10.465979,2.0
14.459748,10.457144,3.0
14.427396,10.500443,3.0
14.45842,10.415181,3.0
8.425947,9.7703085,0.0
9.507218,10.133573,1.0
8.958199,9.84276,0.0
8.519221,9.768097,0.0
4.500964,10.277897,0.0
18.331118,11.3098345,4.0
10.341843,12.929081,0.0
7.0639863,11.590374,0.0
15.494869,11.185128,3.0
14.123094,10.936407,2.0
17.266802,10.345731,3.0
17.285147,10.41339,4.0
18.541756,10.524286,4.0
6.978384,9.978523,0.0
6.6672153,10.065292,0.0
6.979658,9.999947,0.0
10.899139,9.203832,0.0
7.721415,10.85645,0.0
14.878321,11.980331,3.0
20.48927,12.398327,5.0
24.037027,12.099791,5.0
24.444216,12.150404,5.0
13.382146,11.788747,3.0
9.554987,10.473857,1.0
13.810533,12.166932,3.0
11.682902,9.393885,1.0
9.909911,12.973974,0.0
10.180086,12.880955,0.0
9.677871,12.809651,0.0
11.886465,12.93171,1.0
16.981443,11.196509,3.0
17.823277,11.08148,4.0
8.438713,11.046927,0.0
8.40569,11.117826,0.0
9.124691,10.645538,0.0
9.874474,11.187523,0.0
8.484086,11.365241,0.0
11.334474,11.662783,1.0
11.344318,9.103061,0.0
11.492922,9.2104845,0.0
11.251569,9.28116,1.0
18.716784,11.155246,4.0
17.581234,11.525515,4.0
18.070843,11.474301,4.0
16.085596,12.707812,3.0
19.947052,10.642012,4.0
22.313698,10.617625,5.0
20.175346,10.643962,4.0
24.019993,11.30083,5.0
24.138088,11.247716,5.0
9.317234,11.611177,0.0
9.443588,11.756419,0.0
9.46668,11.593333,0.0
22.223864,10.787272,5.0
18.166609,11.207136,4.0
14.932868,10.951362,3.0
3.7942698,9.818885,0.0
15.64375,11.778789,3.0
10.500969,12.097578,0.0
11.651765,11.849667,1.0
11.272543,11.801524,1.0
11.009039,11.874213,1.0
21.95236,12.210561,5.0
21.298628,12.340096,5.0
21.437437,12.485779,5.0
23.893324,12.372389,5.0
8.863909,12.696284,0.0
11.696576,10.750526,2.0
4.6726375,9.604187,0.0
5.117414,9.748286,0.0
14.6551485,10.89721,3.0
17.931276,11.281074,4.0
20.27289,11.061307,5.0
18.442553,11.386105,4.0
8.682388,10.968141,0.0
10.254928,11.594858,1.0
17.487568,12.475227,4.0
17.268896,12.694873,5.0
20.998352,12.496639,5.0
21.28522,12.405216,5.0
19.596903,12.867933,5.0
21.783535,12.328271,5.0
13.361246,11.934949,2.0
11.186981,11.314669,1.0
20.764462,11.458303,5.0
20.763166,11.348678,5.0
9.644858,10.771525,0.0
9.975752,10.763171,1.0
10.02228,10.89207,1.0
9.831334,11.559174,1.0
22.272053,11.731483,5.0
21.341673,12.052614,5.0
19.790636,11.164678,5.0
21.12721,13.192599,5.0
21.028776,12.583832,5.0
21.965782,12.627152,5.0
7.7158866,10.381187,0.0
7.096648,10.623548,0.0
7.0720925,10.283114,0.0
12.866305,10.911004,2.0
12.854342,10.996441,2.0
8.178352,9.933313,0.0
10.443405,12.823936,0.0
16.512363,10.446303,3.0
16.857084,10.438713,3.0
16.839384,10.420097,3.0
19.983192,10.540068,4.0
21.085745,10.570945,5.0
11.129377,9.08874,1.0
11.280345,9.188089,0.0
11.464686,9.318086,1.0
12.955425,11.767993,2.0
10.907181,12.893353,1.0
13.725364,10.507103,3.0
19.857286,10.593715,4.0
18.812387,11.02227,4.0
19.53972,11.072485,5.0
23.774782,10.980948,5.0
23.29251,12.017921,5.0
22.637352,12.344182,5.0
10.181151,10.1204,0.0
8.308225,10.013682,0.0
8.699536,9.904118,0.0
8.430619,9.883457,0.0
10.364522,12.338694,0.0
10.785911,12.946836,1.0
17.309258,11.275563,4.0
11.220444,9.277613,0.0
11.541504,9.409752,1.0
7.7727532,12.037379,0.0
7.0740757,12.06601,0.0
18.61807,12.147785,4.0
13.455475,12.058085,2.0
13.516426,12.210685,2.0
18.541828,11.043799,5.0
18.67702,11.039502,5.0
16.839684,11.637646,4.0
4.7342825,10.224623,0.0
22.009075,10.866201,5.0
10.373469,13.02107,0.0
10.2771635,12.929898,0.0
10.29766,12.991908,0.0
10.333453,13.021643,0.0
10.406855,12.986924,0.0
11.50002,12.4301,1.0
6.472687,9.855789,0.0
6.6840377,9.659102,0.0
7.5015106,10.318545,0.0
18.021667,11.599501,4.0
23.611197,10.974107,5.0
23.762909,11.063094,5.0
8.915967,11.110289,0.0
10.1382675,12.274343,0.0
9.416064,11.996344,0.0
10.068744,12.284682,0.0
8.734781,11.761017,0.0
8.639951,11.487386,0.0
20.414999,11.061097,5.0
20.631468,11.228421,5.0
9.885576,11.592889,0.0
10.016498,11.690348,0.0
8.918434,11.354237,0.0
5.662613,10.787952,0.0
24.01924,11.416106,5.0
21.94226,10.8615885,5.0
22.335575,10.865671,5.0
19.655575,11.972008,5.0
23.080887,11.3382,5.0
5.3425097,10.686125,0.0
8.126341,10.410921,0.0
8.427559,10.3193445,0.0
8.361747,10.540674,0.0
8.472454,11.441651,0.0
17.560564,11.923366,4.0
19.026913,12.04508,5.0
20.770353,11.04434,5.0
22.441938,10.9399,5.0
18.492968,12.634729,5.0
19.029634,12.69438,5.0
20.112848,12.774068,5.0
13.058177,11.745819,2.0
14.309648,12.395831,3.0
14.542706,12.272575,3.0
17.515448,12.395636,5.0
6.014983,10.230919,0.0
6.044554,10.364387,0.0
5.9007874,10.159061,0.0
5.065643,9.807373,0.0
16.446009,12.01777,4.0
16.844538,12.384079,4.0
18.115961,12.63864,5.0
10.737253,10.467322,1.0
13.88432,11.074944,3.0
13.773567,11.083532,3.0
20.263306,10.444255,5.0
6.3800583,9.324029,0.0
6.4675784,9.28979,0.0
6.6240516,9.350455,0.0
6.637681,9.389743,0.0
6.932073,9.456776,0.0
6.480843,9.832001,0.0
6.2389827,9.98619,0.0
8.0884285,9.408801,0.0
9.784836,9.849263,1.0
9.497919,9.769516,1.0
11.208601,10.855235,2.0
9.407435,10.432007,0.0
13.599407,11.882211,2.0
13.918755,11.200751,2.0
16.196524,11.710075,3.0
15.68795,11.558493,3.0
17.595108,11.886948,4.0
21.846664,11.987412,5.0
11.069365,11.027316,2.0
10.855933,10.878442,1.0
12.456995,11.767156,2.0
15.064216,11.671653,3.0
14.086333,11.817819,2.0
14.7308,11.5714,3.0
10.354882,9.921713,1.0
7.307085,9.4224205,0.0
8.711809,10.272981,0.0
22.227827,10.742125,5.0
15.043849,11.251672,3.0
11.039575,10.903005,1.0
10.561867,10.96403,1.0
10.70499,11.0521755,1.0
10.850506,11.084352,2.0
13.51109,11.273989,2.0
18.357056,11.909623,4.0
18.916212,11.990426,5.0
21.647366,11.461227,5.0
16.028254,11.412025,3.0
15.997892,11.283552,3.0
18.862535,12.263067,5.0
13.18381,11.647025,2.0
13.497367,11.4066305,2.0
8.731747,10.106903,0.0
8.589818,10.258823,0.0
9.169445,10.24325,0.0
9.709765,10.326371,0.0
9.148243,10.276258,0.0
8.140632,11.067291,0.0
8.512712,11.1678095,0.0
8.694357,11.50734,0.0
8.838065,11.493285,0.0
8.781274,11.740981,0.0
10.87545,12.208075,2.0
10.656274,11.977148,2.0
7.234165,10.245075,0.0
10.209485,10.77668,1.0
11.69519,12.20068,1.0
11.676577,12.767857,1.0
7.5864353,10.312864,0.0
10.408102,11.962892,0.0
9.144511,11.979298,0.0
20.702223,11.133332,5.0
9.193492,9.809017,0.0
9.250576,9.9202175,0.0
8.6121855,9.866957,0.0
11.700083,11.510931,1.0
9.526127,12.6648035,0.0
9.832993,12.965819,0.0
21.284472,11.905278,5.0
21.285679,11.929204,5.0
21.21374,11.938032,5.0
23.823954,11.409933,5.0
20.233742,11.47092,5.0
21.95918,11.566111,5.0
21.894089,11.642452,5.0
10.06121,9.917765,1.0
5.9884324,9.728099,0.0
10.266734,9.860708,1.0
10.262409,9.993314,1.0
10.513131,9.980609,2.0
9.287849,10.946439,1.0
9.464585,11.117523,2.0
14.453698,11.302519,3.0
6.0288568,10.313972,0.0
6.41565,10.2119255,0.0
6.7646027,10.456674,0.0
11.938322,11.665114,2.0
17.509201,11.867977,4.0
17.730822,11.988169,4.0
16.355639,11.206107,3.0
16.367016,11.082673,3.0
15.139419,10.757573,3.0
16.650717,11.187018,4.0
14.279048,10.567828,2.0
10.874027,11.203769,1.0
7.6151056,11.298371,0.0
7.3111186,11.697508,0.0
18.901138,10.74252,4.0
17.680294,10.837327,3.0
11.530481,11.392521,2.0
11.156607,11.083347,1.0
11.815935,12.041055,1.0
15.035255,11.28251,3.0
11.837225,12.033456,1.0
13.726435,12.253928,2.0
13.675047,12.29793,2.0
18.222988,12.11919,4.0
16.308002,11.18906,3.0
17.673384,12.411216,4.0
19.857168,12.164736,5.0
19.611546,12.375377,5.0
4.700357,9.69196,0.0
4.6551094,9.636416,0.0
4.9257984,10.110695,0.0
20.800552,12.971059,5.0
21.227175,13.18178,5.0
20.949478,13.089458,5.0
23.661232,11.721109,5.0
24.634941,12.093294,5.0
23.786976,11.980727,5.0
7.8197966,10.328344,0.0
10.879106,11.820903,0.0
10.956568,11.931725,1.0
9.741254,11.237373,0.0
11.166522,11.846269,2.0
14.665135,13.605019,3.0
15.649745,13.547342,3.0
14.685669,13.62396,3.0
16.148237,13.645921,4.0
16.367,13.573169,4.0
4.711938,9.59733,0.0
5.2377625,10.562609,0.0
7.672846,9.373597,0.0
10.252968,12.076552,1.0
11.486401,11.060773,2.0
13.002615,11.559246,2.0
13.9760895,12.745928,2.0
14.570322,12.8177185,4.0
21.683186,11.525502,5.0
21.552162,11.565896,5.0
23.648705,11.188645,5.0
7.711366,10.612976,0.0
7.584527,10.379845,0.0
10.539129,10.876138,1.0
7.745016,11.3577,0.0
7.23864,11.852875,0.0
5.476626,10.8932295,0.0
21.319275,12.345588,5.0
14.874643,11.64488,3.0
18.022614,11.959681,4.0
19.680264,11.864475,5.0
