scheme,rmse_followup
C,0.1513736294501826
C,0.0639293310724271
C,0.0751062578827103
C,0.0723183455092766
C,0.0610976690989544
C,0.0643779503883371
C,0.0486317128106698
C,0.061237559389099
C,0.1125416095501399
C,0.1737707860535237
C,0.028929321947728
C,0.0526380427535701
C,0.0497877490770583
C,0.0472627615107566
C,0.0591874386635499
C,0.0486953210776334
C,0.054182894379289
C,0.0582545361887141
C,0.1223446729110532
C,0.1010602535686208
C,0.0983555600886796
C,0.2323525604191604
C,0.0559311835025589
C,0.0422289770277541
C,0.0383637504434976
C,0.0421122447894575
C,0.1254209882403708
C,0.0931761545838505
C,0.0600550714518227
C,0.059921468862012
C,0.0822522858155499
C,0.0445124991335534
C,0.0509857110320646
C,0.0587885988728563
C,0.0423785465278626
C,0.0515564135822786
C,0.1068287351822135
C,0.0937843467391149
C,0.2426361540279048
C,0.0389892490085796
C,0.0481124563945297
C,0.2035046146918542
C,0.0668334939133254
C,0.1112218477393128
C,0.104087383164679
C,0.0470159798825394
C,0.0910734351843602
C,0.0888551820720304
D,0.1634770914216962
D,0.0482002901398947
D,0.0659929856484538
D,0.076153984037432
D,0.0360265795049826
D,0.3294313217644435
D,0.0834196210541755
D,0.1373460562975956
D,0.2457290825899267
D,0.1729352414973931
D,0.1123602489675868
D,0.1976424573086865
D,0.0361327362433406
D,0.1515609998495241
D,0.182636652364627
D,0.0471961061447546
D,0.2543765363774823
D,0.0955659967050216
D,0.0461100263367289
D,0.0379601213908753
D,0.0510897449513405
D,0.0383506847266921
D,0.0517988004572092
D,0.043448754209942
D,0.1681591440020495
D,0.04927759701058
D,0.0550774170765596
D,0.0515997207228078
D,0.0740112251698891
D,0.0857199452768012
D,0.2887146592885029
D,0.1767122753237884
D,0.219063687221174
D,0.0996433621626018
D,0.0461202178331584
D,0.1585526128142371
D,0.0643963043203382
D,0.2759232666935602
D,0.2570792466551584
D,0.0548057975773033
D,0.0464657435139884
D,0.0373142651461396
D,0.0951451925319622
D,0.0635170745715229
D,0.1802476133297546
D,0.0755308849335647
D,0.1117989141118653
D,0.0514921804383632
D,0.0701096918535385
D,0.0307896247173297
D,0.0663252099584467
D,0.0524006822168237
D,0.0613621881785176
D,0.0442196633757694
D,0.0517761081511592
D,0.1549913311742503
D,0.0478669787166764
D,0.2052098408623441
D,0.0842041935986488
D,0.1612889018271994
D,0.0466707296920134
D,0.1373007483998505
D,0.2002632094991816
D,0.1330447055235319
D,0.0435114086954259
D,0.0401510499360134
D,0.0373682032249517
D,0.2505404212627694
D,0.1668725990100471
D,0.3274654931168387
D,0.041815812762155
D,0.2336083075549737
D,0.1306340375397311
D,0.1075267890962682
D,0.0616647103625318
D,0.1323768554076902
D,0.0340668375639709
D,0.03222514715225
D,0.0445939948500904
D,0.0405251680590877
D,0.276358198366662
D,0.0487966290918059
D,0.0459386768307748
D,0.3464364190101251
D,0.0650632197986216
D,0.0459897006652123
D,0.0412170371295284
D,0.2407557956973067
D,0.0656271805315879
D,0.105796707230795
D,0.1055983988441099
D,0.2822374116675147
D,0.0505095305777539
D,0.041679089838968
D,0.0563676837736781
D,0.0410158090478837
D,0.1074375482428313
D,0.1152306673831924
D,0.0738225477580399
D,0.1027443864471638
D,0.1757881295550358
D,0.0947089335046596
D,0.2542802392333455
D,0.1075829053419553
D,0.1727376043703974
D,0.1749440665382198
D,0.0973542209973742
D,0.1998692422256829
D,0.2126080152232883
D,0.1226496858194266
D,0.0418876308173413
D,0.1466096592561664
D,0.140987669530971
D,0.0837746680655606
D,0.0573664317187676
D,0.0390805222429504
D,0.1024872961430556
D,0.0905045619400351
D,0.2485825701264207
D,0.0951172099525065
D,0.0614863805084193
D,0.05849146649911
D,0.0593339172962977
D,0.2722142600752114
D,0.1173823461879786
D,0.140871138426054
D,0.1646310518904412
D,0.0445650709558041
D,0.0599980171459949
D,0.0714131573179589
D,0.0375956206402313
D,0.109780625155759
D,0.0351881618799591
D,0.129330146072065
D,0.0547480188990306
D,0.0419928671158981
D,0.0409781022672394
D,0.0501383562739636
D,0.0450439606791864
D,0.2940669170241405
