umap1,umap2,dynamics_bin,stage_label
-5.519403,0.8884545,1,S1-2
-6.1352987,-4.265846,1,S1-2
-6.1739607,-4.2207303,2,S3-6
-6.4902925,-4.125961,3,S7-15
-7.087563,-4.314735,3,S7-15
0.8382183,0.3145161,0,S0
0.45677665,3.472532,0,S0
-0.7376782,1.4067751,0,S0
-9.768572,-4.721862,4,S16-20
-0.30958164,-0.3847217,0,S0
-4.7518053,-3.1893272,1,S1-2
-5.4141493,-3.3397775,2,S3-6
-2.7349405,1.9467403,0,S0
-3.2792478,-0.4909844,1,S1-2
3.1948855,0.41958395,0,S0
-1.6086973,0.38818663,1,S1-2
-1.819737,0.88917536,0,S0
-3.528457,2.1842587,0,S0
-5.4355955,0.86952424,1,S1-2
-7.00095,-3.9936433,3,S7-15
-7.0176554,-4.085203,3,S7-15
-7.363073,-4.2758474,3,S7-15
2.949593,1.672636,0,S0
-3.3569798,-0.030565241,0,S0
-3.4128022,-0.47709918,1,S1-2
-4.297133,-2.5254474,2,S3-6
-4.5559874,-2.671562,2,S3-6
-7.084505,-3.896639,3,S7-15
-9.45103,-4.7970757,4,S16-20
-9.40032,-4.7840686,4,S16-20
-2.0074217,0.9785239,0,S0
0.4460415,1.1054717,0,S0
3.2538655,1.6320302,0,S0
-6.0241337,-4.1927333,2,S3-6
-6.076241,-4.241318,2,S3-6
-6.06719,-4.22938,2,S3-6
3.1641579,2.1437495,0,S0
-3.1124465,1.549493,0,S0
-4.2446094,0.6775412,1,S1-2
-5.701375,0.3258436,1,S1-2
3.504112,0.9694498,0,S0
-0.09543331,-0.59159154,0,S0
2.8271477,2.0412996,0,S0
-3.0358367,-2.174811,1,S1-2
-3.0844986,-2.208185,1,S1-2
-3.4122908,-2.3829618,1,S1-2
-3.804095,-1.806198,1,S1-2
-7.1175065,-2.1600513,2,S3-6
-7.010898,-2.1558707,2,S3-6
-4.841623,-3.3404763,2,S3-6
-6.3707714,-4.154456,2,S3-6
-3.4845374,-0.598576,0,S0
-2.946897,2.588778,1,S1-2
-6.835796,-4.052385,3,S7-15
3.2156017,1.6358858,0,S0
-6.7880263,-2.1738243,2,S3-6
-7.0365653,-2.4369595,3,S7-15
-7.245569,-2.9952614,3,S7-15
-5.59025,-3.0460603,2,S3-6
-5.4559608,-3.1370952,3,S7-15
0.2685819,1.5848863,0,S0
0.25840482,1.7627825,0,S0
-2.9377174,-0.048027236,0,S0
-4.834367,0.26687747,1,S1-2
-2.467341,0.32739896,0,S0
4.2873464,1.7722528,0,S0
4.1647296,1.665858,0,S0
1.5910537,2.9758117,0,S0
3.7210934,0.8555788,0,S0
3.6351814,0.68586934,0,S0
0.8506121,1.4576981,0,S0
-7.0539694,-3.4662356,3,S7-15
-7.9568844,-3.6094759,4,S16-20
-8.277628,-3.4757876,4,S16-20
-4.8362427,0.6072152,2,S3-6
-4.48271,0.42823607,2,S3-6
-4.472281,0.9415259,2,S3-6
3.038568,2.0548267,0,S0
-6.3072762,-3.3349323,3,S7-15
-6.722801,-3.3863618,3,S7-15
-8.037682,-3.800549,3,S7-15
-7.302387,-0.9540263,2,S3-6
-3.934451,0.96171486,0,S0
-5.5862494,-3.4543407,3,S7-15
-6.1723847,-3.570469,3,S7-15
4.144906,2.3175933,0,S0
3.8755674,1.43384,0,S0
3.6580603,3.4068272,0,S0
3.6488173,2.343147,0,S0
-10.013117,-4.081378,4,S16-20
-2.0481396,-0.12455705,1,S1-2
-9.769585,-3.5247521,3,S7-15
-9.7580185,-3.4407187,3,S7-15
-9.943553,-3.710129,4,S16-20
2.9366238,1.4103719,0,S0
-7.0032434,-3.1804056,3,S7-15
-2.5393875,0.14650705,0,S0
0.9832794,-0.103998564,0,S0
-2.2006054,-0.9317686,1,S1-2
-5.244976,-2.0533307,3,S7-15
1.4982089,3.1619902,0,S0
-5.159081,-2.508851,2,S3-6
-3.5265727,-2.2757232,1,S1-2
2.2797217,2.7756596,0,S0
1.4255657,0.2269468,0,S0
-8.082275,-2.3733814,2,S3-6
-1.0141832,0.18331443,1,S1-2
2.7002563,2.6695309,0,S0
1.7135421,2.7465894,0,S0
1.5427121,2.8000724,0,S0
-9.64238,-4.9110227,4,S16-20
-9.70476,-4.951695,4,S16-20
-8.470952,-3.8696296,3,S7-15
1.2748302,2.6175215,0,S0
-8.687383,-4.8308444,4,S16-20
2.185036,2.3420377,0,S0
-3.9638233,0.5238968,1,S1-2
3.4749835,2.5309849,0,S0
2.5848112,1.6007155,0,S0
1.5994151,0.22699623,0,S0
-7.6966796,-2.664052,3,S7-15
-8.640122,-3.5137124,4,S16-20
-9.151987,-4.253285,4,S16-20
-8.209714,-3.5019243,3,S7-15
-8.745304,-3.385795,4,S16-20
-8.772577,-3.684993,4,S16-20
3.9747286,1.5842483,0,S0
0.28717396,-0.24891338,0,S0
-1.9050424,0.77176225,1,S1-2
0.47435915,2.1894336,0,S0
-2.2719002,0.4283605,0,S0
0.5834284,3.6802797,0,S0
-0.39675322,1.3167425,0,S0
4.0743856,2.2955725,0,S0
-2.459901,-2.0274608,0,S0
-8.33865,-3.9483013,3,S7-15
-1.9021707,0.4232859,0,S0
-8.418509,-2.7646737,3,S7-15
-9.713825,-3.9065135,4,S16-20
-6.6266074,-3.2496276,3,S7-15
-7.553383,-2.4541948,3,S7-15
-0.17078783,2.311483,0,S0
-2.1010332,0.4791269,0,S0
0.9570088,2.8135362,0,S0
-8.109439,-4.2244773,3,S7-15
-8.2453,-4.434523,4,S16-20
-9.060548,-3.3266666,3,S7-15
2.618413,2.1227455,0,S0
0.2905432,1.4332968,0,S0
0.39545208,0.20538686,0,S0
2.759519,2.6770978,0,S0
