map_name,subtype_label,stage,n_samples,CTX_LH_BANKSSTS_SUVR,CTX_LH_CAUDALANTERIORCINGULATE_SUVR,CTX_LH_CAUDALMIDDLEFRONTAL_SUVR,CTX_LH_CUNEUS_SUVR,CTX_LH_ENTORHINAL_SUVR,CTX_LH_FUSIFORM_SUVR,CTX_LH_INFERIORPARIETAL_SUVR,CTX_LH_INFERIORTEMPORAL_SUVR,CTX_LH_ISTHMUSCINGULATE_SUVR,CTX_LH_LATERALOCCIPITAL_SUVR,CTX_LH_LATERALORBITOFRONTAL_SUVR,CTX_LH_LINGUAL_SUVR,CTX_LH_MEDIALORBITOFRONTAL_SUVR,CTX_LH_MIDDLETEMPORAL_SUVR,CTX_LH_PARAHIPPOCAMPAL_SUVR,CTX_LH_PARACENTRAL_SUVR,CTX_LH_PARSOPERCULARIS_SUVR,CTX_LH_PARSORBITALIS_SUVR,CTX_LH_PARSTRIANGULARIS_SUVR,CTX_LH_PERICALCARINE_SUVR,CTX_LH_POSTCENTRAL_SUVR,CTX_LH_POSTERIORCINGULATE_SUVR,CTX_LH_PRECENTRAL_SUVR,CTX_LH_PRECUNEUS_SUVR,CTX_LH_ROSTRALANTERIORCINGULATE_SUVR,CTX_LH_ROSTRALMIDDLEFRONTAL_SUVR,CTX_LH_SUPERIORFRONTAL_SUVR,CTX_LH_SUPERIORPARIETAL_SUVR,CTX_LH_SUPERIORTEMPORAL_SUVR,CTX_LH_SUPRAMARGINAL_SUVR,CTX_LH_FRONTALPOLE_SUVR,CTX_LH_TEMPORALPOLE_SUVR,CTX_LH_TRANSVERSETEMPORAL_SUVR,CTX_LH_INSULA_SUVR
subtype1_stage20,subtype1,20.0,1,4.47,1.131,3.769,2.1,1.695,2.442,4.28,3.522,3.318,3.406,2.953,1.86,1.88,3.456,1.582,0.875,3.603,3.506,3.451,0.881,1.21,2.704,1.597,3.286,1.256,4.213,2.106,2.855,1.796,2.787,2.296,1.256,0.799,1.691
subtype2_stage1,subtype2,1.0,95,1.238957894736842,1.0608105263157894,1.2206526315789474,1.1292315789473684,1.3096526315789474,1.2553263157894736,1.3063157894736843,1.3781789473684207,1.0995263157894737,1.262052631578947,1.2272842105263155,1.112463157894737,1.1865263157894734,1.3001684210526314,1.1903263157894737,1.1660421052631578,1.2030315789473685,1.2916947368421057,1.229231578947369,0.9880947368421052,1.140642105263158,1.126915789473684,1.1214736842105264,1.221810526315789,1.0639263157894734,1.2313157894736844,1.1928947368421052,1.2331473684210523,1.2154947368421052,1.2773157894736842,1.2760842105263157,1.211105263157895,1.0079263157894738,1.143042105263158
subtype2_stage2,subtype2,2.0,89,1.2962808988764043,1.0866629213483143,1.249,1.137887640449438,1.3379775280898876,1.334674157303371,1.3273370786516854,1.451584269662921,1.1789550561797753,1.316674157303371,1.255820224719101,1.174191011235955,1.2189101123595505,1.378134831460674,1.2412247191011236,1.1502359550561798,1.2328988764044944,1.2996404494382023,1.2497977528089887,1.060325842696629,1.1282584269662923,1.167325842696629,1.1269887640449436,1.2450898876404493,1.1045730337078652,1.255752808988764,1.2252022471910111,1.2327977528089888,1.248303370786517,1.2787977528089889,1.281438202247191,1.2633258426966292,0.9940337078651684,1.16938202247191
subtype2_stage3,subtype2,3.0,57,1.306859649122807,1.1287894736842106,1.2612105263157891,1.159736842105263,1.4406140350877192,1.3554561403508774,1.3702631578947366,1.4975438596491228,1.2145087719298246,1.3500701754385964,1.2696140350877194,1.2034210526315787,1.224140350877193,1.4074912280701757,1.322035087719298,1.1793157894736843,1.246140350877193,1.3289824561403512,1.274561403508772,1.044157894736842,1.1376491228070174,1.2029649122807016,1.1414736842105262,1.2727894736842107,1.1203684210526317,1.265245614035088,1.240421052631579,1.2798245614035086,1.2535964912280702,1.295473684210526,1.2994210526315788,1.282052631578947,1.0199473684210527,1.1914385964912282
subtype2_stage4,subtype2,4.0,31,1.369774193548387,1.1235161290322582,1.271774193548387,1.202161290322581,1.4695806451612907,1.434225806451613,1.388225806451613,1.5389032258064514,1.2408709677419354,1.394806451612903,1.300322580645161,1.2656451612903228,1.2670967741935484,1.447741935483871,1.33158064516129,1.2038709677419357,1.2640967741935485,1.3513225806451614,1.289483870967742,1.1007419354838712,1.1649677419354838,1.1963870967741934,1.1631612903225803,1.282483870967742,1.1289032258064515,1.2933870967741936,1.2682580645161292,1.2839354838709678,1.3073870967741934,1.3151612903225804,1.3362580645161295,1.3025806451612902,1.0536774193548388,1.2103548387096774
subtype2_stage5,subtype2,5.0,35,1.4125714285714288,1.1224285714285716,1.3246285714285717,1.187257142857143,1.6336857142857144,1.450885714285714,1.4162571428571429,1.6327142857142856,1.260257142857143,1.3877999999999997,1.3036857142857143,1.2298,1.285371428571429,1.501342857142857,1.4220285714285714,1.2036857142857142,1.3020000000000005,1.3772000000000002,1.324942857142857,1.0617714285714286,1.2006571428571429,1.2557714285714283,1.1931142857142858,1.2881714285714283,1.1458285714285714,1.3199714285714288,1.3190857142857146,1.322114285714286,1.3424571428571428,1.357371428571429,1.3836000000000002,1.399857142857143,1.0428,1.2436285714285715
subtype2_stage6,subtype2,6.0,26,1.386923076923077,1.1566923076923077,1.3551153846153845,1.2961923076923076,1.629423076923077,1.4845000000000004,1.4454615384615386,1.558846153846154,1.2421538461538462,1.4850384615384615,1.3052307692307692,1.3230000000000002,1.2995769230769232,1.4638461538461536,1.3777692307692309,1.2476923076923077,1.3441538461538465,1.3491153846153845,1.3422692307692308,1.1946538461538465,1.238961538461539,1.2672692307692306,1.2217307692307693,1.3233076923076923,1.1465769230769232,1.3366153846153848,1.3046923076923076,1.3655384615384618,1.3376538461538463,1.392692307692308,1.4029615384615386,1.386692307692308,1.1051153846153847,1.2337692307692305
subtype2_stage7,subtype2,7.0,14,1.3577142857142857,1.1094285714285714,1.32,1.2752142857142856,1.5413571428571429,1.4509285714285716,1.4865714285714289,1.5837142857142863,1.2512857142857143,1.4977857142857147,1.271857142857143,1.2732857142857144,1.2546428571428572,1.4985714285714289,1.3538571428571429,1.1839285714285717,1.268,1.333357142857143,1.307214285714286,1.1750714285714283,1.2053571428571428,1.2245,1.1792142857142858,1.300357142857143,1.1274285714285714,1.3200000000000005,1.2519285714285715,1.3702857142857143,1.3257142857142858,1.3739285714285714,1.3335714285714284,1.3294285714285714,1.0512142857142857,1.2101428571428574
subtype2_stage8,subtype2,8.0,10,1.3272000000000002,1.0563000000000002,1.2837999999999998,1.1567,1.5402,1.5225,1.4215,1.5095000000000005,1.2539000000000002,1.5485,1.2424,1.2369,1.1936,1.4231,1.3585,1.1779,1.2483,1.3044,1.2944999999999998,1.0355,1.143,1.1716,1.127,1.2546000000000002,1.0568000000000002,1.2772,1.2461,1.3488,1.271,1.3295,1.3682,1.2888,1.0213,1.1638000000000002
subtype2_stage9,subtype2,9.0,9,1.4284444444444446,1.2541111111111112,1.379777777777778,1.246222222222222,1.602777777777778,1.5573333333333332,1.4543333333333337,1.5638888888888889,1.2955555555555556,1.508222222222222,1.340666666666667,1.2877777777777777,1.349444444444445,1.4933333333333334,1.4638888888888888,1.2395555555555555,1.3584444444444446,1.4316666666666669,1.394111111111111,1.1436666666666668,1.210888888888889,1.271777777777778,1.1713333333333331,1.346,1.2094444444444443,1.3585555555555555,1.3173333333333332,1.409333333333333,1.346,1.4052222222222222,1.4936666666666665,1.4167777777777777,1.0307777777777778,1.261
